sub,ses,dir,stratum,mean_fc,skew,mean_fc_flag,skew_flag,fc_flag,temporal_flag,fd_exclude,any_internal_run_review,any_attention
sub-1021,ses-1,AP,ses-1/AP,0.057935722,0.17589104,False,False,False,False,False,False,False
sub-1021,ses-1,PA,ses-1/PA,0.060577698,0.08897599,False,False,False,False,False,False,False
sub-1021,ses-2,AP,ses-2/AP,0.112132154,0.027190402,False,False,False,False,False,False,False
sub-1021,ses-2,PA,ses-2/PA,0.07771862,0.18257347,False,False,False,False,False,False,False
sub-1024,ses-1,AP,ses-1/AP,0.06499912,0.1472724,False,False,False,False,False,False,False
sub-1024,ses-1,PA,ses-1/PA,0.09480119,0.14226276,False,False,False,False,False,False,False
sub-1024,ses-2,AP,ses-2/AP,0.13945901,-0.121057436,False,False,False,False,False,False,False
sub-1024,ses-2,PA,ses-2/PA,0.084994934,0.19469881,False,False,False,False,False,False,False
sub-1025,ses-1,AP,ses-1/AP,0.16238351,0.1422082,False,False,False,False,False,False,False
sub-1025,ses-1,PA,ses-1/PA,0.12938237,0.029758649,False,False,False,False,False,False,False
sub-1025,ses-2,AP,ses-2/AP,0.10014819,0.27242813,False,False,False,False,False,False,False
sub-1025,ses-2,PA,ses-2/PA,0.15539917,0.13387255,False,False,False,False,False,False,False
sub-1026,ses-1,AP,ses-1/AP,0.081152886,0.039962474,False,False,False,False,False,False,False
sub-1026,ses-1,PA,ses-1/PA,0.048423667,0.07312665,False,False,False,False,False,False,False
sub-1026,ses-2,AP,ses-2/AP,0.088754945,0.091853075,False,False,False,False,False,False,False
sub-1026,ses-2,PA,ses-2/PA,0.11155679,0.09184878,False,False,False,False,False,False,False
sub-1027,ses-1,AP,ses-1/AP,0.05811156,0.2712073,False,False,False,False,False,False,False
sub-1027,ses-1,PA,ses-1/PA,0.054429878,0.20261218,False,False,False,False,False,False,False
sub-1027,ses-2,AP,ses-2/AP,0.25413293,-0.18208556,False,False,False,False,True,False,True
sub-1027,ses-2,PA,ses-2/PA,0.29785115,-0.18282928,False,False,False,False,True,False,True
sub-1028,ses-1,AP,ses-1/AP,0.10184798,0.05758228,False,False,False,False,False,False,False
sub-1028,ses-1,PA,ses-1/PA,0.10142825,0.10759667,False,False,False,False,False,False,False
sub-1028,ses-2,AP,ses-2/AP,0.20396619,-0.11607619,False,False,False,False,False,False,False
sub-1028,ses-2,PA,ses-2/PA,0.1055668,0.207694,False,False,False,False,False,False,False
sub-1029,ses-1,AP,ses-1/AP,0.09000254,0.13242258,False,False,False,False,False,False,False
sub-1029,ses-1,PA,ses-1/PA,0.10862397,0.049178712,False,False,False,False,False,False,False
sub-1029,ses-2,AP,ses-2/AP,0.058944695,0.33574334,False,False,False,False,False,False,False
sub-1029,ses-2,PA,ses-2/PA,0.11310303,0.0126820775,False,False,False,False,False,False,False
sub-1030,ses-1,AP,ses-1/AP,0.28359488,-0.01371833,True,False,True,False,False,True,True
sub-1030,ses-1,PA,ses-1/PA,0.16349137,0.038946528,False,False,False,False,True,False,True
sub-1030,ses-2,AP,ses-2/AP,0.17935067,0.016918398,False,False,False,False,False,False,False
sub-1030,ses-2,PA,ses-2/PA,0.18045737,-0.003589018,False,False,False,False,False,False,False
sub-1031,ses-1,AP,ses-1/AP,0.047581878,0.25963026,False,False,False,False,False,False,False
sub-1031,ses-1,PA,ses-1/PA,0.07217074,0.10210949,False,False,False,False,False,False,False
sub-1031,ses-2,AP,ses-2/AP,0.13031788,0.11071572,False,False,False,False,False,False,False
sub-1031,ses-2,PA,ses-2/PA,0.059493627,0.091985285,False,False,False,False,False,False,False
sub-1032,ses-1,AP,ses-1/AP,0.06440333,0.07952669,False,False,False,False,False,False,False
sub-1032,ses-1,PA,ses-1/PA,0.08221831,0.19161014,False,False,False,False,False,False,False
sub-1032,ses-2,AP,ses-2/AP,0.034837637,0.29562968,False,False,False,False,False,False,False
sub-1032,ses-2,PA,ses-2/PA,0.16809382,0.0052938983,False,False,False,False,False,False,False
sub-1033,ses-1,AP,ses-1/AP,0.03981974,0.21827492,False,False,False,False,False,False,False
sub-1033,ses-1,PA,ses-1/PA,0.065899,0.25736362,False,False,False,False,False,False,False
sub-1033,ses-2,AP,ses-2/AP,0.032852843,0.25999883,False,False,False,False,False,False,False
sub-1033,ses-2,PA,ses-2/PA,0.04693838,0.32719526,False,False,False,False,False,False,False
sub-1034,ses-1,AP,ses-1/AP,0.048107017,0.0896006,False,False,False,False,False,False,False
